model,setup,run_type,experiment,scope,value
gpt-oss-medium,A,det,E3_T,P2,3.3333
gpt-oss-medium,A,rob,E1,avg,2.1019
gpt-oss-medium,A,rob,E1,P1,2.9259
gpt-oss-medium,A,rob,E1,P2,1.2778
gpt-oss-medium,A,rob,E2,avg,1.8333
gpt-oss-medium,A,rob,E2,P1,2.7778
gpt-oss-medium,A,rob,E2,P2,0.8889
gpt-oss-medium,A,rob,E3_M,avg,1.7778
gpt-oss-medium,A,rob,E3_M,P1,2.4444
gpt-oss-medium,A,rob,E3_M,P2,1.1111
gpt-oss-medium,A,rob,E3_T,avg,2.2222
gpt-oss-medium,A,rob,E3_T,P1,2.4444
gpt-oss-medium,A,rob,E3_T,P2,2.0
gpt-oss-medium,B-query,det,E1,avg,1.8889
gpt-oss-medium,B-query,det,E1,P1,2.8889
gpt-oss-medium,B-query,det,E1,P2,0.8889
gpt-oss-medium,B-query,det,E2,avg,2.0
gpt-oss-medium,B-query,det,E2,P1,2.8333
gpt-oss-medium,B-query,det,E2,P2,1.1667
gpt-oss-medium,B-query,det,E3_M,avg,2.3333
gpt-oss-medium,B-query,det,E3_M,P1,1.6667
gpt-oss-medium,B-query,det,E3_M,P2,3.0
gpt-oss-medium,B-query,det,E3_T,avg,2.3333
gpt-oss-medium,B-query,det,E3_T,P1,1.3333
gpt-oss-medium,B-query,det,E3_T,P2,3.3333
gpt-oss-medium,B-query,rob,E1,avg,1.7407
gpt-oss-medium,B-query,rob,E1,P1,2.7037
gpt-oss-medium,B-query,rob,E1,P2,0.7778
gpt-oss-medium,B-query,rob,E2,avg,2.0833
gpt-oss-medium,B-query,rob,E2,P1,3.0
gpt-oss-medium,B-query,rob,E2,P2,1.1667
gpt-oss-medium,B-query,rob,E3_M,avg,1.2222
gpt-oss-medium,B-query,rob,E3_M,P1,1.3333
gpt-oss-medium,B-query,rob,E3_M,P2,1.1111
gpt-oss-medium,B-query,rob,E3_T,avg,1.7778
gpt-oss-medium,B-query,rob,E3_T,P1,1.8889
gpt-oss-medium,B-query,rob,E3_T,P2,1.6667
gpt-oss-medium,B-resolved,det,E1,avg,2.3889
gpt-oss-medium,B-resolved,det,E1,P1,3.4444
gpt-oss-medium,B-resolved,det,E1,P2,1.3333
gpt-oss-medium,B-resolved,det,E2,avg,1.8333
gpt-oss-medium,B-resolved,det,E2,P1,2.8333
gpt-oss-medium,B-resolved,det,E2,P2,0.8333
gpt-oss-medium,B-resolved,det,E3_M,avg,2.3333
gpt-oss-medium,B-resolved,det,E3_M,P1,1.6667
gpt-oss-medium,B-resolved,det,E3_M,P2,3.0
gpt-oss-medium,B-resolved,det,E3_T,avg,2.6667
gpt-oss-medium,B-resolved,det,E3_T,P1,2.3333
gpt-oss-medium,B-resolved,det,E3_T,P2,3.0
gpt-oss-medium,B-resolved,rob,E1,avg,1.9074
gpt-oss-medium,B-resolved,rob,E1,P1,2.9259
gpt-oss-medium,B-resolved,rob,E1,P2,0.8889
gpt-oss-medium,B-resolved,rob,E2,avg,2.1111
gpt-oss-medium,B-resolved,rob,E2,P1,3.1111
gpt-oss-medium,B-resolved,rob,E2,P2,1.1111
gpt-oss-medium,B-resolved,rob,E3_M,avg,1.3333
gpt-oss-medium,B-resolved,rob,E3_M,P1,1.5556
